Date;RUONIA
12.04.2013;5.8
15.04.2013;6.01
16.04.2013;6.14
17.04.2013;6.1
18.04.2013;6.14
19.04.2013;6.24
22.04.2013;6.28
23.04.2013;6.35
24.04.2013;6.38
25.04.2013;6.5
26.04.2013;6.41
29.04.2013;6.52
30.04.2013;6.52
06.05.2013;6.53
07.05.2013;6.25
08.05.2013;6.1
13.05.2013;6.36
14.05.2013;6.25
15.05.2013;6.25
16.05.2013;6.37
17.05.2013;6.28
20.05.2013;6.33
21.05.2013;6.34
22.05.2013;6.32
23.05.2013;6.3
24.05.2013;6.24
27.05.2013;6.25
28.05.2013;6.29
29.05.2013;6.26
30.05.2013;6.3
31.05.2013;6.29
03.06.2013;6.35
04.06.2013;6.4
05.06.2013;6.24
06.06.2013;6.06
07.06.2013;5.84
10.06.2013;6.03
11.06.2013;6.02
13.06.2013;6.15
14.06.2013;6.09
17.06.2013;6.2
18.06.2013;6.18
19.06.2013;6.12
20.06.2013;6.31
21.06.2013;6.35
24.06.2013;6.39
25.06.2013;6.5
26.06.2013;6.44
27.06.2013;6.48
28.06.2013;6.49
01.07.2013;6.35
02.07.2013;6.16
03.07.2013;5.88
04.07.2013;5.6
05.07.2013;5.49
08.07.2013;5.51
09.07.2013;5.6
10.07.2013;5.89
11.07.2013;5.96
12.07.2013;5.94
15.07.2013;6.14
16.07.2013;6.15
17.07.2013;6.03
18.07.2013;6
19.07.2013;5.95
22.07.2013;6.01
23.07.2013;6.02
24.07.2013;6.01
25.07.2013;6.24
26.07.2013;6.36
29.07.2013;6.37
30.07.2013;6.25
31.07.2013;6.14
01.08.2013;6.13
02.08.2013;6.01
05.08.2013;6.01
06.08.2013;5.98
07.08.2013;5.82
08.08.2013;5.77
09.08.2013;5.7
12.08.2013;5.83
13.08.2013;5.97
14.08.2013;6.13
15.08.2013;6.09
16.08.2013;6
19.08.2013;5.94
20.08.2013;5.97
21.08.2013;5.88
22.08.2013;5.91
23.08.2013;5.9
26.08.2013;6.24
27.08.2013;6.33
28.08.2013;6.28
29.08.2013;6.28
30.08.2013;6.09
02.09.2013;5.87
03.09.2013;5.89
04.09.2013;5.88
05.09.2013;5.92
06.09.2013;6.07
09.09.2013;6.13
10.09.2013;6.14
11.09.2013;6.03
12.09.2013;6.12
13.09.2013;6.03
16.09.2013;6.12
17.09.2013;6.16
18.09.2013;6.12
19.09.2013;6.28
20.09.2013;6.3
23.09.2013;6.33
24.09.2013;6.41
25.09.2013;6.45
